0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,2-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-light-0-IrregularGrid-eta,probability_weights
0.006218,86.452215,1.466998,2.061244,0.832477,30.577714,-0.187348,0.041316,7088.842467,0.712703,1.805110,13599.3
0.028452,59.527924,1.662222,2.162156,0.777425,77.142314,-0.101383,0.044626,259.862929,0.764770,1.741994,13609.8
0.024153,76.078164,1.657004,1.858256,0.843601,75.374921,-0.197441,0.155807,1710.903312,0.770219,0.814738,13610.4
0.026352,87.635209,1.483330,2.070717,0.842796,55.098887,-0.107824,-0.088247,183.519743,0.646840,0.646670,13610.8
0.020599,60.009690,1.525216,1.858845,0.908011,39.210736,0.004376,0.141983,107031.307446,0.790206,1.442723,13613.2
0.021954,9.924383,1.541210,2.129769,0.966969,77.913969,0.068917,0.028885,21056.027922,0.454501,0.817107,13619.9
0.016075,57.222459,1.475709,1.929717,0.687794,57.300577,-0.020394,-0.017223,4269.261485,0.533084,0.677441,13621
0.027641,89.359226,1.493566,1.876275,0.902854,19.658250,0.070009,-0.012308,69279.072047,0.782775,1.354476,13622.6
0.023302,44.029619,1.468500,2.059470,0.709110,78.695218,-0.166792,-0.189768,2073.446669,0.443182,0.760316,13624.2
0.007316,73.606275,1.530667,2.185377,0.905251,86.267858,-0.015473,0.031648,166.027684,0.592869,1.225329,13630.8
0.018245,74.084070,1.486081,2.027823,0.916574,57.364668,-0.124835,0.120257,2415.762909,0.855360,0.265623,13634.5
0.039210,45.262168,1.557826,2.068055,0.770936,71.962607,0.043982,-0.008532,28032.560367,0.620484,0.305707,13635.8
0.014640,9.684352,1.527378,2.025167,0.961268,7.817722,0.008933,0.051966,3407.523387,0.382758,0.946335,13638.2
0.010122,87.753822,1.586839,2.120932,0.798696,5.102978,0.128973,-0.151557,203065.587851,0.143033,1.834222,13640.6
0.023489,89.650353,1.564373,1.832149,0.829302,65.821849,-0.199182,-0.010872,160994.669781,0.406868,1.639904,13643.2
0.029473,3.454262,1.614224,2.162989,0.875626,53.810304,-0.149508,-0.052106,1971.086983,0.375121,0.948643,13643.7
0.012064,5.462528,1.538674,2.026953,0.628051,31.037541,0.021168,0.159479,188329.648743,0.641189,1.382216,13645.4
0.012053,56.698910,1.612896,2.081028,0.773334,68.338217,-0.192309,0.019418,994.192367,0.743195,1.689896,13645.5
0.018670,41.102848,1.663712,2.064480,0.631044,19.047935,0.041897,0.146057,25757.604251,0.701163,0.936333,13648.9
0.015776,37.258721,1.620639,1.946364,0.896174,55.219985,-0.186482,0.052506,218894.178447,0.307914,0.931397,13657.1
0.024776,7.502657,1.563549,2.064697,0.968740,40.411422,-0.170770,-0.068788,67.663856,0.837001,0.730843,13657.3
0.015544,74.355436,1.571709,1.949382,0.897015,69.186438,0.161305,0.042317,27817.390134,0.683697,1.768329,13659.1
0.031651,46.145845,1.635812,2.141346,0.727960,11.617833,0.156210,0.125007,53326.781246,0.528686,0.850066,13660.2
0.005352,42.594769,1.585897,2.096208,0.843276,65.038369,0.017598,-0.055295,2869.461300,0.845491,2.023038,13661.1
0.023496,52.307973,1.553781,1.951867,0.751391,39.725551,-0.125952,-0.147452,166.429170,0.320830,1.040953,13663.3
0.019016,79.360363,1.654999,2.190849,0.906312,82.381652,-0.182803,0.141409,74420.304517,0.148578,0.247692,13664.7
0.012125,19.783457,1.459572,1.861246,0.702720,48.823320,-0.187971,-0.007993,379.382206,0.597570,0.857055,13666.3
0.013183,48.977239,1.678113,2.155238,0.877892,19.588227,-0.003312,0.096832,53433.779627,0.223513,0.091783,13667.5
0.032750,65.587018,1.557792,2.075626,0.762172,72.382587,-0.063673,0.117943,104.469082,0.587501,0.903127,13667.8
0.027364,17.531176,1.539658,2.133692,0.610196,65.501153,0.124084,0.144065,27476.270551,0.338977,0.117505,13667.9
0.024710,29.142169,1.519464,1.885347,0.898295,3.387506,0.040127,0.121402,5381.133336,0.722397,0.540403,13671.1
0.037001,77.726150,1.628416,2.181074,0.807939,89.972790,0.123154,0.046888,100026.556541,0.554076,1.741943,13672.3
0.013492,51.176730,1.491027,2.098459,0.689984,22.497060,0.030300,-0.066632,13.356706,0.832893,1.192056,13675.6
