0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-SIE-theta_E,1-galaxy-mass-0-SIE-q,1-galaxy-mass-0-SIE-phi,1-galaxy-mass-0-SIE-center_x,1-galaxy-mass-0-SIE-center_y,3-galaxy-light-0-IrregularGrid-lambda,3-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-mass-0-PixelatedRegularGridPotential-lambda,2-galaxy-mass-0-PixelatedRegularGridPotential-l_corr,probability_weights
0.002944,-59.038507,1.125396,0.744771,33.570271,-0.089293,0.056238,495.679797,0.080018,20.199512,0.254255,0
0.006326,-49.087027,0.937412,0.897074,42.062225,0.074471,-0.057715,5.186354,0.782703,4.096164,0.074039,0
0.069500,-54.796818,0.980716,0.788582,69.098802,0.052724,0.044325,22.274762,0.149099,0.256327,0.437393,0
0.086562,-56.775445,0.983054,0.919487,43.322167,-0.065988,-0.092681,15.393224,0.147403,1.127889,0.040159,0
0.062196,-42.367086,0.925338,0.861364,52.047436,0.068074,0.094577,527.920265,0.136134,25.612722,0.132437,0
0.071749,-43.027543,0.999268,0.955459,57.023561,0.046177,-0.094087,0.000285,0.374568,442.227249,0.952618,0
0.091240,-50.848897,0.949640,0.904264,45.478070,-0.098462,-0.011606,0.076479,0.149060,33293.246981,0.062769,0
0.042933,-40.650972,0.939341,0.939178,44.523458,-0.033696,0.012478,0.002502,0.796528,6706.571129,0.058820,0
0.064921,-58.271574,1.047528,0.876186,55.922503,0.097806,-0.087855,0.004966,0.912986,42717.862384,0.056665,0
0.019185,-48.372037,0.968712,0.921357,31.484497,0.011238,0.069594,103.366738,0.218177,15277.954867,0.099310,0
0.091354,-39.481591,0.882513,0.904742,63.151822,-0.051967,0.086980,15.257388,0.086320,440.227084,0.868404,0
0.092358,-56.481822,1.032391,0.731091,56.729367,0.031995,-0.070861,287.206573,0.120618,0.781077,0.670730,0
0.015321,-38.323635,0.920806,0.819948,67.271805,0.098086,0.065657,23.189454,0.112009,34.925877,0.444875,0
0.055927,-38.328887,1.032356,0.812672,69.649179,0.089235,-0.055761,0.107637,0.048327,1451.099356,0.443619,0
0.051367,-54.054119,1.086802,0.759635,56.046455,-0.026585,-0.099430,160.341697,0.499472,5.444754,0.392516,0
0.034419,-39.547451,1.069264,0.818562,52.305851,-0.024410,0.040699,0.206714,0.693301,25.366791,0.378845,0
0.052291,-54.461282,1.022918,0.716544,65.146341,-0.095981,0.083942,0.134536,0.357643,2.799738,0.713906,0
0.011016,-52.947650,0.966659,0.819446,42.219274,-0.046636,0.003868,0.008097,0.126211,219.905052,0.927368,0
0.030453,-40.512033,0.867261,0.881019,57.774200,0.081294,0.020002,197.306584,0.814599,15.874177,0.049750,0
0.019507,-40.824807,0.983034,0.860143,52.812235,-0.070323,-0.058553,0.070758,0.337093,54.311586,0.320132,0
